Date,Hanimaadhoo,Hulhule,Kadhdhoo,Kaadedhdhoo,Gan
2021-07-17,30.235443,30.757843,33.547607,34.90628,34.423523
2021-07-18,29.730377,31.772827,33.68747,35.614624,33.605316
2021-07-19,31.638458,32.831177,34.7258,34.88617,32.853943
2021-07-20,31.182678,32.110016,34.70456,33.269836,32.707916
2021-07-21,30.888824,31.874329,31.47461,34.03134,31.360474
2021-07-22,30.775513,30.68863,29.904572,30.725647,30.989166
2021-07-23,29.448364,30.641144,30.418884,29.762817,29.62378
2021-07-24,29.984589,31.486359,33.410583,31.638336,31.09616
2021-07-25,28.905731,30.588898,34.383392,34.21396,34.75482
2021-07-26,31.664795,35.179382,35.28836,34.86548,34.209717
2021-07-27,29.4888,30.171356,33.795135,35.230133,34.469116
2021-07-28,30.236328,31.601776,33.725403,29.825897,33.16867
2021-07-29,31.114899,32.3425,34.15561,34.48291,32.516174
2021-07-30,31.470367,34.45392,36.12845,35.241333,34.306488
2021-07-31,30.99295,31.659912,35.01407,34.776,35.382263
2021-08-01,30.78891,32.45227,33.884094,34.475647,34.185333
2021-08-02,31.768982,32.18338,33.57245,32.59857,34.315674
2021-08-03,33.058228,34.66342,33.915985,33.964386,32.021423
2021-08-04,32.263,34.828857,33.67389,31.78592,34.53073
2021-08-05,31.434052,33.479004,33.512512,33.58734,32.66394
2021-08-06,29.52539,29.674683,34.384125,34.08899,34.61435
2021-08-07,30.084534,30.199951,29.965271,31.454346,33.234406
2021-08-08,28.073456,31.487427,30.93106,35.488464,34.433838
2021-08-09,28.718018,30.5318,33.89328,35.594116,32.701324
2021-08-10,28.551453,30.029175,32.963257,33.378235,34.76657
2021-08-11,30.247253,30.533936,31.018433,31.166412,33.872925
2021-08-12,30.129456,30.569946,30.809082,31.27301,30.809937
2021-08-13,29.336823,30.474457,29.345734,28.544434,28.561829
2021-08-14,30.031738,30.078735,30.033752,29.858612,29.561096
2021-08-15,29.899902,30.654358,30.742645,30.14444,30.50113
2021-08-16,29.645935,30.442719,31.651337,32.39569,31.871796
2021-08-17,29.31372,30.77298,32.79187,33.729767,33.76483
2021-08-18,27.205963,30.515167,30.674652,31.830078,31.670197
2021-08-19,30.983795,31.314453,32.227142,33.773834,33.481842
